                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6188,                 2.5583,                 1.5089,                0.48062,                0.41315,                0.39797,                0.17543,                 1.5594,                 21.091,                 1.4196,             0.00055348,             0.00055348,             0.00055348
                      2,                 1.6387,                 1.8492,                 1.5055,                0.44098,                0.34124,                0.33501,                0.15323,                 1.5861,                 103.47,                 1.4612,              0.0010542,              0.0010542,              0.0010542
                      3,                 1.6611,                 1.7244,                 1.5234,                0.48337,                0.40909,                0.40364,                0.17448,                 1.6237,                 29.282,                 1.4278,                 0.0015,                 0.0015,                 0.0015
                      4,                 1.6331,                 1.6406,                 1.5001,                0.50587,                0.48901,                0.45731,                0.22037,                 1.4912,                 50.279,                 1.3932,              0.0014195,              0.0014195,              0.0014195
                      5,                 1.5848,                 1.5613,                 1.4722,                0.57102,                0.51552,                0.53166,                0.25845,                 1.4401,                 14.778,                 1.3414,              0.0013369,              0.0013369,              0.0013369
                      6,                 1.5523,                 1.4862,                 1.4463,                0.59957,                0.50052,                0.54233,                0.27995,                 1.4233,                  2.034,                 1.2993,              0.0012544,              0.0012544,              0.0012544
                      7,                 1.5165,                 1.4119,                 1.4205,                0.61782,                0.54599,                 0.5793,                0.29508,                 1.3822,                 6.6214,                 1.2515,              0.0011719,              0.0011719,              0.0011719
                      8,                 1.4854,                 1.3703,                 1.4007,                0.64085,                0.57218,                0.62005,                0.32448,                 1.3349,                 7.6019,                 1.2126,              0.0010894,              0.0010894,              0.0010894
                      9,                 1.4809,                 1.3513,                 1.3959,                0.65487,                0.58441,                0.64835,                0.34426,                 1.3081,                 3.8648,                 1.1982,              0.0010069,              0.0010069,              0.0010069
                     10,                 1.4586,                 1.3093,                 1.3822,                0.65304,                0.57038,                0.62685,                0.33084,                 1.3102,                 6.5962,                 1.2097,             0.00092435,             0.00092435,             0.00092435
                     11,                 1.5349,                 1.3229,                 1.4405,                0.65917,                0.59346,                  0.643,                0.34183,                 1.3182,                  12.86,                 1.2175,             0.00084184,             0.00084184,             0.00084184
                     12,                 1.5105,                 1.2782,                 1.4268,                0.69037,                0.58763,                 0.6634,                0.35817,                 1.2791,                 3.4368,                 1.1769,             0.00075932,             0.00075932,             0.00075932
                     13,                 1.4891,                 1.2424,                 1.4068,                0.66404,                0.62847,                0.67719,                0.37353,                 1.2508,                 4.1188,                 1.1688,              0.0006768,              0.0006768,              0.0006768
                     14,                  1.465,                  1.198,                  1.395,                0.69389,                0.63305,                0.69314,                 0.3874,                 1.2297,                 7.1053,                 1.1601,             0.00059429,             0.00059429,             0.00059429
                     15,                  1.437,                 1.1532,                 1.3737,                0.71209,                0.63758,                0.70224,                0.38577,                 1.2417,                 3.0262,                 1.1537,             0.00051177,             0.00051177,             0.00051177
                     16,                 1.4168,                 1.1226,                 1.3606,                0.72334,                0.63776,                0.71241,                0.39745,                 1.2243,                 1.9414,                 1.1426,             0.00042925,             0.00042925,             0.00042925
                     17,                 1.3941,                 1.0798,                 1.3443,                0.71135,                0.65691,                0.72383,                0.41001,                 1.1997,                 2.1988,                  1.121,             0.00034674,             0.00034674,             0.00034674
                     18,                 1.3667,                 1.0426,                 1.3243,                0.71269,                0.67251,                0.73283,                0.41807,                 1.1943,                 2.9506,                 1.1231,             0.00026422,             0.00026422,             0.00026422
                     19,                 1.3475,                 1.0189,                 1.3104,                0.73093,                0.66736,                0.73722,                0.42402,                 1.1902,                 1.8025,                 1.1203,              0.0001817,              0.0001817,              0.0001817
                     20,                 1.3242,                0.97796,                 1.2933,                0.75392,                0.66657,                0.74983,                0.43258,                 1.1785,                 2.4491,                 1.1068,             9.9187e-05,             9.9187e-05,             9.9187e-05
