                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6222,                 2.0983,                 1.5268,                0.59188,                0.52514,                0.54578,                0.27564,                 1.2702,                 7.9006,                 1.1479,              0.0033287,              0.0033287,              0.0033287
                      2,                 1.5385,                 1.5041,                 1.4278,                0.52872,                0.45494,                0.45293,                0.21246,                 1.3731,                 6.3468,                 1.2245,               0.006629,               0.006629,               0.006629
                      3,                 1.6727,                 1.6978,                 1.5287,                0.50103,                0.43168,                0.42175,                0.19279,                 1.4491,                 4.5961,                 1.3054,              0.0098964,              0.0098964,              0.0098964
                      4,                 1.6922,                 1.7041,                 1.5415,                0.49954,                0.42865,                0.41345,                0.19076,                 1.4756,                 5.8427,                 1.3397,              0.0098515,              0.0098515,              0.0098515
                      5,                 1.6419,                 1.6238,                 1.5152,                0.57961,                0.49903,                0.52531,                0.25609,                 1.3473,                 3.8641,                 1.2377,               0.009802,               0.009802,               0.009802
                      6,                 1.6025,                 1.5473,                 1.4928,                0.62315,                0.54506,                 0.5832,                 0.2921,                 1.2982,                  4.842,                 1.1845,              0.0097525,              0.0097525,              0.0097525
                      7,                 1.5653,                 1.4783,                 1.4691,                0.61965,                0.54319,                0.58885,                0.29634,                 1.2729,                 3.3835,                 1.1524,               0.009703,               0.009703,               0.009703
                      8,                 1.5383,                 1.4253,                 1.4423,                0.64593,                0.57133,                0.61251,                0.31292,                 1.2509,                 3.6682,                 1.1422,              0.0096535,              0.0096535,              0.0096535
                      9,                 1.5191,                 1.4029,                 1.4334,                 0.6296,                0.59904,                0.63763,                0.33317,                 1.2102,                 3.7814,                 1.1026,               0.009604,               0.009604,               0.009604
                     10,                 1.5029,                 1.3586,                  1.425,                0.65782,                0.57861,                0.63908,                0.33537,                 1.2021,                 2.2453,                 1.1126,              0.0095545,              0.0095545,              0.0095545
                     11,                 1.4799,                 1.3307,                 1.4095,                0.66685,                0.61879,                0.67048,                0.35666,                 1.1742,                 2.6783,                 1.0736,               0.009505,               0.009505,               0.009505
                     12,                 1.4683,                 1.3091,                  1.397,                0.68387,                 0.6076,                0.66994,                0.35981,                 1.1655,                 3.2795,                 1.0781,              0.0094555,              0.0094555,              0.0094555
                     13,                 1.4637,                 1.2895,                 1.3956,                0.67926,                0.61184,                0.67213,                0.36113,                 1.1768,                 3.0198,                 1.0831,               0.009406,               0.009406,               0.009406
                     14,                 1.4522,                  1.269,                 1.3877,                 0.6964,                0.61927,                0.68867,                0.36983,                 1.1474,                 3.2932,                 1.0647,              0.0093565,              0.0093565,              0.0093565
                     15,                 1.4416,                  1.253,                  1.381,                0.69759,                0.63961,                0.69782,                0.38028,                 1.1287,                 2.5669,                 1.0565,               0.009307,               0.009307,               0.009307
                     16,                 1.4336,                 1.2312,                 1.3712,                0.69729,                0.64246,                 0.6995,                0.38602,                   1.13,                 3.5453,                 1.0448,              0.0092575,              0.0092575,              0.0092575
                     17,                 1.4215,                 1.2105,                 1.3611,                0.71178,                0.65159,                0.71331,                0.39783,                 1.1261,                 1.9108,                 1.0492,               0.009208,               0.009208,               0.009208
                     18,                 1.4176,                 1.2143,                 1.3607,                 0.7073,                0.64608,                0.71177,                 0.3973,                 1.1094,                 2.0163,                 1.0341,              0.0091585,              0.0091585,              0.0091585
                     19,                 1.4059,                 1.1705,                 1.3479,                0.71537,                0.64952,                 0.7188,                0.39719,                 1.1238,                 2.2177,                 1.0325,               0.009109,               0.009109,               0.009109
                     20,                 1.3982,                  1.174,                  1.346,                0.72638,                0.65037,                0.72333,                0.40528,                 1.1082,                 1.7036,                 1.0273,              0.0090595,              0.0090595,              0.0090595
                     21,                 1.3915,                 1.1609,                 1.3451,                0.73702,                0.66334,                  0.731,                0.40929,                 1.1084,                 1.9997,                  1.024,                0.00901,                0.00901,                0.00901
                     22,                 1.3761,                 1.1467,                 1.3327,                0.73524,                0.66992,                0.74432,                0.41316,                  1.104,                  2.441,                 1.0225,              0.0089605,              0.0089605,              0.0089605
                     23,                 1.3774,                 1.1313,                 1.3331,                0.73133,                0.68484,                0.74456,                0.42117,                 1.1068,                 2.2609,                 1.0281,               0.008911,               0.008911,               0.008911
                     24,                 1.3667,                 1.1164,                   1.32,                0.74037,                0.68293,                0.74798,                0.41591,                  1.109,                 1.8372,                 1.0222,              0.0088615,              0.0088615,              0.0088615
                     25,                 1.3695,                 1.1244,                 1.3233,                0.73581,                0.67503,                 0.7396,                0.41928,                 1.0933,                 1.5823,                 1.0231,               0.008812,               0.008812,               0.008812
                     26,                 1.3553,                 1.1054,                  1.318,                0.73891,                0.68799,                 0.7519,                0.42573,                 1.1065,                 1.7047,                 1.0196,              0.0087625,              0.0087625,              0.0087625
                     27,                 1.3546,                 1.0879,                  1.318,                0.72845,                0.68966,                0.75329,                0.42732,                 1.0926,                 1.5366,                 1.0119,               0.008713,               0.008713,               0.008713
                     28,                  1.351,                 1.0921,                 1.3127,                0.74563,                0.68431,                0.75343,                0.43121,                 1.0907,                 1.5289,                 1.0196,              0.0086635,              0.0086635,              0.0086635
                     29,                 1.3406,                 1.0686,                 1.3013,                0.75595,                0.68719,                0.75969,                0.43338,                 1.0852,                 1.9111,                 1.0094,               0.008614,               0.008614,               0.008614
                     30,                 1.3445,                 1.0719,                 1.3097,                 0.7526,                 0.6982,                0.76156,                0.43889,                 1.0782,                 1.6807,                 1.0072,              0.0085645,              0.0085645,              0.0085645
                     31,                 1.3265,                 1.0533,                 1.2901,                0.74901,                0.69903,                0.76557,                0.44253,                  1.083,                  1.549,                 1.0082,               0.008515,               0.008515,               0.008515
                     32,                 1.3293,                 1.0507,                 1.2931,                  0.759,                0.69767,                0.76775,                0.44275,                 1.0764,                 1.5658,                 1.0045,              0.0084655,              0.0084655,              0.0084655
                     33,                 1.3242,                 1.0457,                 1.2891,                0.75682,                0.70635,                0.77119,                 0.4455,                 1.0652,                 1.5143,                0.99544,               0.008416,               0.008416,               0.008416
                     34,                 1.3173,                 1.0361,                 1.2871,                0.76709,                0.69924,                0.77074,                 0.4466,                 1.0695,                 1.2936,                 1.0011,              0.0083665,              0.0083665,              0.0083665
                     35,                 1.3229,                 1.0262,                 1.2829,                0.76212,                0.70447,                0.77376,                0.44592,                 1.0739,                 1.3585,                0.99706,               0.008317,               0.008317,               0.008317
                     36,                  1.306,                 1.0175,                 1.2773,                0.75504,                 0.7173,                0.77617,                0.45054,                  1.066,                 1.2672,                0.99795,              0.0082675,              0.0082675,              0.0082675
                     37,                 1.3079,                 1.0114,                 1.2764,                0.76506,                0.71321,                0.77969,                0.45318,                 1.0652,                 1.5055,                0.99685,               0.008218,               0.008218,               0.008218
                     38,                 1.3033,                 1.0055,                 1.2752,                0.77718,                0.70813,                0.78264,                  0.453,                 1.0574,                 1.4554,                0.99315,              0.0081685,              0.0081685,              0.0081685
                     39,                   1.29,                0.99854,                 1.2674,                0.77166,                0.71463,                0.78179,                0.45298,                 1.0598,                  1.493,                0.99701,               0.008119,               0.008119,               0.008119
                     40,                 1.2889,                0.97727,                 1.2623,                0.77563,                0.71498,                0.78325,                0.45629,                 1.0605,                 1.6508,                0.99522,              0.0080695,              0.0080695,              0.0080695
                     41,                 1.2949,                0.98353,                 1.2692,                0.76799,                0.71855,                0.78508,                0.45708,                 1.0629,                 1.5971,                0.99481,                0.00802,                0.00802,                0.00802
                     42,                 1.2826,                0.97278,                 1.2567,                0.77585,                0.71912,                0.78553,                0.45777,                 1.0587,                 1.4309,                0.99189,              0.0079705,              0.0079705,              0.0079705
                     43,                 1.2878,                0.97614,                 1.2596,                0.77736,                0.71921,                0.78537,                0.45837,                 1.0625,                 1.3178,                0.99058,               0.007921,               0.007921,               0.007921
                     44,                 1.2752,                0.94869,                 1.2513,                0.76793,                0.72417,                0.78446,                0.45918,                 1.0636,                 1.2677,                0.99285,              0.0078715,              0.0078715,              0.0078715
                     45,                 1.2689,                0.95265,                 1.2511,                0.77925,                 0.7171,                0.78588,                0.46053,                 1.0581,                 1.2708,                0.99237,               0.007822,               0.007822,               0.007822
                     46,                 1.2648,                0.94681,                  1.247,                0.77437,                0.73082,                0.78743,                 0.4613,                 1.0642,                 1.3641,                0.99563,              0.0077725,              0.0077725,              0.0077725
                     47,                 1.2656,                 0.9499,                 1.2428,                0.78179,                0.72133,                0.78699,                0.46154,                 1.0636,                 1.4268,                0.99678,               0.007723,               0.007723,               0.007723
                     48,                 1.2516,                0.93945,                 1.2397,                0.79043,                  0.712,                0.78646,                0.46265,                 1.0643,                  1.335,                0.99446,              0.0076735,              0.0076735,              0.0076735
                     49,                  1.258,                0.93368,                 1.2425,                0.78912,                0.72008,                0.78752,                0.46361,                  1.065,                  1.322,                0.99561,               0.007624,               0.007624,               0.007624
                     50,                 1.2484,                0.91743,                 1.2373,                0.78792,                 0.7181,                0.78761,                0.46499,                 1.0624,                 1.3106,                0.99482,              0.0075745,              0.0075745,              0.0075745
                     51,                 1.2478,                0.93326,                 1.2358,                0.77175,                0.72827,                0.78795,                0.46518,                 1.0598,                 1.2765,                0.99616,               0.007525,               0.007525,               0.007525
                     52,                 1.2445,                0.91511,                 1.2356,                0.77219,                0.73588,                0.78745,                0.46601,                 1.0565,                 1.2888,                0.99447,              0.0074755,              0.0074755,              0.0074755
                     53,                 1.2396,                0.90621,                 1.2281,                0.77737,                0.73301,                 0.7903,                 0.4667,                 1.0554,                 1.3132,                0.99141,               0.007426,               0.007426,               0.007426
