                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6097,                 2.9987,                 1.5192,                0.52403,                0.42295,                0.41815,                0.19726,                 1.4059,                 44.581,                 1.2939,              0.0033202,              0.0033202,              0.0033202
                      2,                 1.5661,                 2.0338,                 1.4446,                0.45921,                0.40952,                0.38292,                0.17519,                 1.5412,                 19.377,                 1.4103,              0.0065877,              0.0065877,              0.0065877
                      3,                 1.6745,                 1.8846,                 1.5238,                0.31886,                0.34973,                0.24866,                0.10304,                 1.7771,                 75.831,                 1.6945,              0.0097891,              0.0097891,              0.0097891
                      4,                 1.7291,                 1.8387,                 1.5713,                0.46122,                0.38469,                0.36704,                0.16022,                  1.641,                 19.126,                 1.4564,               0.009703,               0.009703,               0.009703
                      5,                 1.6671,                  1.704,                 1.5351,                0.48012,                0.42965,                0.42027,                0.19554,                 1.5353,                   10.4,                 1.3799,               0.009604,               0.009604,               0.009604
                      6,                 1.6264,                 1.6142,                 1.5054,                0.57061,                0.49805,                0.51263,                0.24504,                  1.473,                 24.774,                 1.3561,               0.009505,               0.009505,               0.009505
                      7,                 1.5919,                 1.5458,                 1.4838,                0.58248,                0.52078,                0.54558,                 0.2763,                  1.416,                 6.1198,                  1.312,               0.009406,               0.009406,               0.009406
                      8,                 1.5604,                 1.4852,                 1.4602,                0.60086,                0.48005,                0.51065,                0.25206,                 1.5017,                  5.132,                 1.3602,               0.009307,               0.009307,               0.009307
                      9,                 1.5502,                 1.4562,                 1.4468,                0.58024,                0.49251,                0.52764,                0.26888,                 1.4014,                 3.4633,                 1.2827,               0.009208,               0.009208,               0.009208
                     10,                 1.5299,                 1.4276,                 1.4387,                0.61793,                0.56066,                0.59317,                 0.3133,                 1.3431,                 8.3872,                 1.2448,               0.009109,               0.009109,               0.009109
                     11,                  1.498,                 1.3726,                  1.419,                0.59008,                0.51039,                0.53433,                0.26507,                  1.425,                 10.521,                 1.3137,                0.00901,                0.00901,                0.00901
                     12,                 1.4966,                 1.3648,                 1.4143,                0.61713,                0.58748,                0.62109,                0.32683,                 1.3179,                 7.8531,                 1.2287,               0.008911,               0.008911,               0.008911
                     13,                 1.4863,                 1.3287,                 1.4049,                0.66143,                0.59894,                0.65188,                0.34575,                 1.2973,                 9.1146,                 1.1974,               0.008812,               0.008812,               0.008812
                     14,                 1.4771,                 1.3231,                  1.398,                0.67436,                0.60496,                 0.6568,                0.35305,                 1.3081,                 6.2012,                 1.2131,               0.008713,               0.008713,               0.008713
                     15,                 1.4544,                 1.2916,                  1.381,                0.67078,                0.60691,                0.66545,                 0.3635,                 1.2908,                 2.7933,                 1.2004,               0.008614,               0.008614,               0.008614
                     16,                 1.4466,                 1.2841,                 1.3734,                0.68223,                0.58988,                0.65645,                0.35257,                 1.3116,                 6.4659,                 1.2107,               0.008515,               0.008515,               0.008515
                     17,                 1.4418,                 1.2563,                 1.3687,                0.68111,                0.60852,                0.66783,                0.36325,                 1.2669,                 4.9102,                 1.1721,               0.008416,               0.008416,               0.008416
                     18,                 1.4348,                 1.2555,                 1.3716,                0.69639,                0.62153,                 0.6903,                0.37478,                  1.273,                 4.2658,                 1.1795,               0.008317,               0.008317,               0.008317
                     19,                 1.4333,                 1.2401,                 1.3572,                0.69666,                0.63047,                0.68816,                0.37916,                 1.2563,                 3.7884,                 1.1695,               0.008218,               0.008218,               0.008218
                     20,                 1.4285,                 1.2301,                 1.3555,                0.71348,                0.61808,                0.69184,                0.37251,                 1.2692,                 3.5581,                 1.1766,               0.008119,               0.008119,               0.008119
                     21,                 1.4201,                 1.2125,                 1.3566,                0.69745,                0.64769,                0.70204,                0.38736,                 1.2425,                 3.1765,                 1.1666,                0.00802,                0.00802,                0.00802
                     22,                 1.4063,                 1.1985,                 1.3451,                0.71267,                0.64647,                0.71503,                0.39358,                  1.255,                 3.8948,                 1.1676,               0.007921,               0.007921,               0.007921
                     23,                 1.3999,                  1.176,                 1.3433,                0.71525,                0.65084,                0.71589,                0.39835,                 1.2263,                 3.0383,                 1.1502,               0.007822,               0.007822,               0.007822
                     24,                 1.3964,                 1.1698,                 1.3343,                0.71479,                0.65601,                0.72056,                0.40046,                 1.2328,                 2.9496,                 1.1494,               0.007723,               0.007723,               0.007723
                     25,                 1.3887,                 1.1693,                 1.3303,                0.72495,                0.66324,                0.72572,                0.40384,                  1.221,                 3.1618,                 1.1405,               0.007624,               0.007624,               0.007624
                     26,                 1.3803,                 1.1598,                 1.3247,                0.72651,                0.65182,                0.72563,                0.40726,                 1.2191,                 3.1623,                 1.1388,               0.007525,               0.007525,               0.007525
                     27,                 1.3716,                 1.1408,                 1.3154,                0.73305,                0.66161,                 0.7275,                 0.4087,                 1.2123,                 4.0735,                 1.1372,               0.007426,               0.007426,               0.007426
                     28,                 1.3766,                 1.1374,                 1.3196,                0.73387,                0.66578,                0.73868,                0.41419,                 1.2089,                 3.7769,                 1.1259,               0.007327,               0.007327,               0.007327
                     29,                 1.3716,                 1.1313,                 1.3116,                0.74355,                  0.673,                0.74404,                0.42058,                 1.2116,                 2.9813,                 1.1347,               0.007228,               0.007228,               0.007228
