                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6295,                  2.151,                 1.5347,                0.57565,                 0.4559,                0.49101,                0.24025,                 1.8459,                 2.4415,                 1.5675,              0.0033282,              0.0033282,              0.0033282
                      2,                 1.5457,                 1.5317,                 1.4361,                0.54376,                0.47992,                0.48574,                0.23044,                 1.8043,                 3.3812,                 1.5778,              0.0066285,              0.0066285,              0.0066285
                      3,                 1.6821,                 1.7132,                 1.5235,                0.50876,                0.43771,                0.43691,                0.20215,                 1.8358,                 6.6863,                 1.6393,              0.0098959,              0.0098959,              0.0098959
                      4,                 1.6954,                 1.7491,                 1.5547,                 0.4999,                0.45966,                0.45835,                0.20468,                  1.981,                 3.3365,                 1.6383,              0.0098515,              0.0098515,              0.0098515
                      5,                 1.6473,                 1.6246,                 1.5175,                0.58112,                0.50011,                0.52826,                0.25479,                 1.7668,                 2.8379,                 1.5459,               0.009802,               0.009802,               0.009802
                      6,                 1.6104,                 1.5633,                 1.4898,                0.60665,                0.50454,                0.54743,                0.27291,                  1.727,                 3.1241,                 1.5198,              0.0097525,              0.0097525,              0.0097525
                      7,                 1.5682,                 1.4917,                 1.4656,                0.61302,                0.54917,                0.58662,                0.29292,                 1.7051,                 2.6463,                 1.5303,               0.009703,               0.009703,               0.009703
                      8,                 1.5506,                  1.444,                 1.4522,                0.62644,                0.58119,                0.61205,                 0.3104,                 1.6587,                 3.1531,                 1.4762,              0.0096535,              0.0096535,              0.0096535
                      9,                 1.5308,                 1.4055,                  1.437,                0.65711,                0.56057,                0.61932,                0.32062,                 1.7367,                 2.6758,                 1.5917,               0.009604,               0.009604,               0.009604
                     10,                 1.5085,                 1.3631,                 1.4242,                0.64972,                0.61343,                0.64427,                0.32673,                 1.7055,                 2.1726,                 1.4648,              0.0095545,              0.0095545,              0.0095545
                     11,                 1.4963,                 1.3571,                 1.4161,                0.64389,                0.61644,                0.65795,                0.34716,                 1.6745,                 2.6271,                 1.4843,               0.009505,               0.009505,               0.009505
                     12,                 1.4877,                 1.3257,                 1.4095,                0.66077,                0.60937,                0.66591,                0.36233,                 1.5267,                 2.2149,                 1.3773,              0.0094555,              0.0094555,              0.0094555
                     13,                 1.4718,                 1.3025,                 1.4067,                0.66376,                0.61775,                0.66485,                0.35188,                 1.5895,                 1.9024,                 1.4179,               0.009406,               0.009406,               0.009406
                     14,                 1.4604,                 1.2816,                 1.3885,                0.67732,                0.62501,                0.68187,                0.37222,                 1.5656,                 2.4055,                 1.3879,              0.0093565,              0.0093565,              0.0093565
                     15,                 1.4495,                  1.261,                 1.3884,                0.71061,                0.61623,                0.69276,                0.37427,                 1.5357,                 2.0533,                 1.4093,               0.009307,               0.009307,               0.009307
                     16,                 1.4449,                 1.2492,                  1.382,                0.70164,                0.62759,                0.69132,                0.37961,                 1.5864,                  1.785,                 1.4091,              0.0092575,              0.0092575,              0.0092575
                     17,                 1.4143,                 1.2075,                 1.3596,                0.70602,                0.63313,                0.69454,                0.38834,                 1.5586,                  1.858,                 1.3657,               0.009208,               0.009208,               0.009208
                     18,                 1.4262,                 1.2149,                 1.3675,                0.71872,                0.64721,                0.71502,                0.39424,                 1.5811,                 2.1894,                 1.3882,              0.0091585,              0.0091585,              0.0091585
                     19,                 1.4093,                 1.1908,                 1.3552,                0.73431,                0.64776,                0.72099,                0.39533,                 1.5171,                 2.2947,                  1.333,               0.009109,               0.009109,               0.009109
                     20,                 1.3983,                 1.1763,                 1.3473,                0.71302,                0.65537,                0.72218,                0.39537,                 1.5326,                 1.9602,                  1.353,              0.0090595,              0.0090595,              0.0090595
                     21,                 1.4004,                 1.1762,                 1.3508,                0.71656,                0.65235,                0.71164,                0.39683,                 1.4775,                 1.9552,                 1.3227,                0.00901,                0.00901,                0.00901
                     22,                 1.3992,                 1.1609,                 1.3435,                 0.7238,                0.66951,                 0.7335,                 0.4104,                 1.5299,                 1.6409,                 1.3511,              0.0089605,              0.0089605,              0.0089605
                     23,                 1.3819,                 1.1512,                 1.3354,                0.72534,                0.66963,                0.73452,                0.41665,                 1.4699,                 1.6323,                 1.3066,               0.008911,               0.008911,               0.008911
                     24,                 1.3711,                 1.1439,                 1.3314,                0.73196,                0.66417,                0.73701,                0.41054,                 1.4204,                 1.8172,                 1.2803,              0.0088615,              0.0088615,              0.0088615
                     25,                 1.3604,                 1.1114,                 1.3191,                0.73922,                0.66759,                0.73844,                0.42085,                 1.4738,                 2.0588,                  1.304,               0.008812,               0.008812,               0.008812
                     26,                 1.3595,                 1.1115,                 1.3191,                0.72878,                0.68003,                0.74697,                0.42582,                 1.3723,                  1.465,                 1.2564,              0.0087625,              0.0087625,              0.0087625
                     27,                  1.367,                 1.1034,                 1.3215,                0.74574,                0.67554,                0.75019,                0.42876,                 1.4466,                 1.8092,                 1.3251,               0.008713,               0.008713,               0.008713
